Localidad de residencia,Localidad de residencia,ingreso_pc_2011,ingreso_pc_2014,categoria,poblacion,06mar2020 ,07mar2020 ,08mar2020 ,09mar2020 ,10mar2020 ,11mar2020 ,12mar2020 ,13mar2020 ,14mar2020 ,15mar2020 ,16mar2020 ,17mar2020 ,18mar2020 ,19mar2020 ,20mar2020 ,21mar2020 ,22mar2020 ,23mar2020 ,24mar2020 ,25mar2020 ,26mar2020 ,27mar2020 ,28mar2020 ,29mar2020 ,30mar2020 ,31mar2020 ,01apr2020 ,02apr2020 ,03apr2020 ,04apr2020 ,05apr2020 ,06apr2020 ,07apr2020 ,08apr2020 ,09apr2020 ,10apr2020 ,11apr2020 ,12apr2020 ,13apr2020 ,14apr2020 ,15apr2020 ,16apr2020 ,17apr2020 ,18apr2020 ,19apr2020 ,20apr2020 ,21apr2020 ,22apr2020 ,23apr2020 ,24apr2020 ,25apr2020 ,26apr2020 ,27apr2020 ,28apr2020 ,29apr2020 ,30apr2020 ,01may2020 ,02may2020 ,03may2020 ,04may2020 ,05may2020 ,06may2020 ,07may2020 ,08may2020 ,09may2020 ,10may2020 ,11may2020 ,12may2020 ,13may2020 ,14may2020 ,15may2020 ,16may2020 ,17may2020 ,18may2020 ,19may2020 ,20may2020 ,21may2020 ,22may2020 ,23may2020 ,24may2020 ,25may2020 ,26may2020 ,27may2020 ,28may2020 ,29may2020 ,30may2020 ,31may2020 ,01jun2020 ,02jun2020 ,03jun2020 ,04jun2020 ,05jun2020 ,06jun2020 ,07jun2020 ,08jun2020 ,09jun2020 ,10jun2020 ,11jun2020 ,12jun2020 ,13jun2020 ,14jun2020 ,15jun2020 
Usme,20,353339.1,428088.88,L,457302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.21867387,.21867387,.21867387,.21867387,.4373477399,.4373477399,.656021595,.8746954799,1.093369365,1.093369365,1.093369365,1.31204319,2.186738729,2.405412674,2.405412674,2.405412674,2.405412674,2.405412674,2.842760324,3.061434269,3.061434269,3.061434269,3.061434269,3.498781919,3.498781919,3.936129808,4.592151165,5.24817276,5.904194832,6.560216427,6.778890133,7.872259617,8.746954918,10.05899811,10.27767181,11.3710413,11.80838966,14.43247604,14.65114975,14.86982346,15.74451923,16.1818676,16.61921501,17.27523613,22.30473518,22.9607563,25.14749527,26.89688683,29.08362579,30.83301544,33.01975632,34.33179855,34.98781967,36.73720932,40.67333984,42.86008072,44.39079666,45.04681778,47.23355865,49.20162201,49.63896942,51.16968536,53.57509995,54.44979477,57.07388306,57.72990417,60.79133606,65.16481781,69.97563934,71.9437027,73.91176605,75.22381592,78.2852478,84.62679291,85.93883514,87.9068985,90.53098297,94.46711731,99.05926514,102.9953918,110.2116318,112.1796951,116.5531769,119.1772614,122.8947144,124.6441116
Usaquén,19,1931642.49,1948544.03,H,501999,.1992035806,.1992035806,.1992035806,.1992035806,.1992035806,.1992035806,.1992035806,.1992035806,.1992035806,.7968143225,1.195221543,1.394425035,1.593628645,1.992035866,3.38646102,3.585664511,4.581682205,4.581682205,7.171329021,7.171329021,8.964160919,10.75699329,12.54982567,13.54584408,15.13947201,15.93628693,17.52991486,20.31876564,23.90443039,25.69726181,25.69726181,29.28292656,32.07177734,33.26699829,34.06381226,34.26301575,34.46221924,35.2590332,35.45823669,35.85664368,37.05186844,38.44629288,42.23115921,43.62558365,46.01602936,48.00806427,48.40647125,49.00408173,50.59770966,50.79691315,51.19532013,51.59372711,51.99213409,53.18735504,53.98417282,54.58178329,54.98019028,55.17939377,56.17541122,56.97222519,58.56585312,58.76505661,63.14753723,64.14355469,64.74116516,65.93638611,66.53399658,67.13160706,67.33081055,67.72921753,68.326828,69.12364197,69.92045593,69.92045593,72.70930481,74.50214386,75.09975433,77.09178925,78.28701019,79.28302765,81.47426605,83.06789398,86.85276031,88.44638824,94.6217041,97.60975647,98.80497742,100.1994019,102.5898438,108.1675491,111.354805,112.7492294,113.3468399,115.9364853,118.7253342,123.3070221,127.2910919,129.2831268,131.6735687,133.6656036,136.255249,137.6496735
Tunjuelito,18,543036.32,693920.09,L,199430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.501429081,1.002858162,1.002858162,1.002858162,1.002858162,1.504287243,2.005716324,2.507145405,2.507145405,3.008574486,3.510003567,3.510003567,3.510003567,4.011432648,6.017148972,8.5242939,8.5242939,9.527152061,11.03143978,12.03429794,12.53572655,13.03715611,13.03715611,14.54144287,15.54430103,15.54430103,17.55001831,18.55287552,19.55573463,21.06002045,22.06287956,24.57002449,24.57002449,25.07145309,25.07145309,25.07145309,26.57574081,27.57859993,29.08288574,30.08574486,30.08574486,32.59288788,32.59288788,33.5957489,34.59860611,36.60432053,39.61289597,40.11432648,44.62718582,45.63004684,46.63290405,48.13719177,53.65291214,55.15719986,56.16005707,57.16291428,60.17148972,62.17720413,62.17720413,63.18006134,65.68721008,67.6929245,68.69578552,71.20292664,74.71292877,75.71578979,79.72722626,81.73294067,85.74436951,91.76152039,98.28009796,100.2858124,104.7986755,105.8015366,108.3086777,116.8329773,120.8444061,122.3486938,124.3544083,128.8672791,134.3829956,141.4029999,145.915863,149.9272919,152.434433,157.4487305,160.4573059,164.4687347
Teusaquillo,17,2076054.14,2450715.39,H,153025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.960464001,2.613951921,3.267439842,3.920928001,7.841856003,9.802319527,13.06975937,13.72324753,16.99068832,18.29766464,20.91161537,22.21859169,22.87207985,27.44649506,33.32788849,33.32788849,33.98137665,38.55578995,38.55578995,41.16974258,42.4767189,43.13020706,43.78369522,45.09067154,51.62555313,53.58601379,55.54647827,56.85345459,58.16043091,58.81391907,61.4278717,62.73484802,64.04182434,64.6953125,66.00228882,66.00228882,67.30926514,67.9627533,68.61624146,69.92321777,71.23019409,74.49763489,75.15111542,75.15111542,75.15111542,75.15111542,75.80460358,75.80460358,79.07204437,79.72553253,82.99297333,84.95343781,86.91390228,88.87436676,88.87436676,90.18134308,91.4883194,92.14180756,94.10227203,94.75576019,98.67668915,103.2511063,104.558075,109.1324921,110.4394684,111.7464447,116.97435,122.2022552,124.8162079,130.0441132,136.5789948,141.8069,152.2626953,156.1836243,160.1045532,165.3324585,172.5208282,174.4812927,177.0952454,182.9766388,188.8580322,192.125473,194.7394257,197.3533783,203.2347717,208.462677,212.3835907,215.6510315
Suba,16,1059765.61,1354621.59,M,1218513,0,0,0,0,0,0,0,.1641344875,.2462017238,.328268975,.328268975,.4103361964,.4103361964,.5744706988,.9848068953,1.148941398,1.641344786,1.805479288,2.544084549,2.708219051,3.85716033,4.103362083,5.170236111,6.155043125,6.975715637,7.221917152,7.550186157,8.370858192,9.601866722,11.24321175,11.57148075,13.13075829,13.86936378,14.4438343,15.01830482,15.1824398,15.1824398,15.26450729,15.51070881,15.67484283,16.08517838,17.80859184,18.71133041,19.69613838,21.58368492,22.56849098,22.65055847,22.97882652,23.22502899,23.881567,24.78430748,25.93324852,27.00012207,27.82079506,28.31319809,29.29800415,29.79040909,30.52901459,31.51382065,32.99103165,33.23723221,34.46824265,36.27371979,36.84819031,37.50473022,38.73573685,39.96674728,40.78741837,41.44395828,43.00323486,44.72664642,45.95765305,47.43486404,48.00933456,50.14308548,52.194767,52.60510254,56.38019562,57.69327164,59.4166832,62.37110138,63.93038177,67.13100433,72.38330841,74.76325989,76.40460205,78.94868469,81.32863617,84.28305817,89.28916168,93.31045532,96.01866913,98.15242004,100.9427032,103.1585236,106.9336166,111.2831802,113.5810623,116.945816,119.3257675,123.18293,125.8911514
Santa Fe,15,816460.43,743361.23,M,110048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.9086943865,.9086943865,.9086943865,.9086943865,3.634777546,3.634777546,3.634777546,3.634777546,3.634777546,3.634777546,3.634777546,4.543471813,7.269555092,7.269555092,7.269555092,7.269555092,8.178249359,8.178249359,8.178249359,8.178249359,8.178249359,8.178249359,9.995637894,9.995637894,9.995637894,10.90433311,11.81302738,12.72172165,12.72172165,13.63041592,13.63041592,15.44780445,15.44780445,15.44780445,16.35649872,16.35649872,19.08258247,19.08258247,19.08258247,20.89997101,20.89997101,20.89997101,21.80866623,24.53474808,30.8956089,30.8956089,34.53038788,37.25646973,37.25646973,40.8912468,42.70863724,44.52602386,46.34341431,49.06949615,51.79558182,55.43035889,66.33469391,69.06077576,76.3303299,85.41727448,89.96074677,98.13899231,103.5911636,104.499855,118.1302719,127.2172165,135.395462,139.9389343,149.0258789,156.2954407,172.6519318,184.4649658,199.0040741,209.9084015,224.4475098,235.3518524,238.986618,248.9822693,253.5257416,265.3387756,274.4257202,278.0604858,281.6952515,289.8735046,295.3256836,299.8691406
San Cristóbal,14,383049.91,531532.48,L,404697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2470984459,.2470984459,.2470984459,.4941968918,.4941968918,.9883937836,1.729689121,1.729689121,1.976787567,2.470984459,2.965181351,3.953575134,4.447772026,4.447772026,4.447772026,4.447772026,4.694870472,5.189067364,6.177461147,6.671658039,7.907150269,9.389740944,10.87233162,11.36652851,11.36652851,12.10782433,12.84911919,13.83751297,15.07300568,18.03818703,18.28528595,20.26207352,20.75626945,21.49756432,23.22725487,25.20404243,27.67502594,28.4163208,30.39310837,31.8757,39.78284836,42.25383377,42.99512863,43.73642349,46.20740891,47.1958046,47.93709946,49.91388702,54.11455917,55.10295486,58.56233215,59.55072403,63.01010513,66.96367645,68.44626617,74.87082672,77.83601379,78.57730865,82.28378296,84.01347351,90.43803406,98.83937836,104.522644,108.72332,113.912384,118.11306,123.302124,130.4679871,134.9157562,140.1048126,145.0467834,148.5061646,152.9539337,160.861084,165.3088531,168.5211334,173.2160034,178.1579742,180.8760681,183.5941467
Rafael Uribe Uribe,13,462660.35,601664.56,L,374246,0,0,0,0,0,0,0,0,0,0,0,.267203927,.267203927,.267203927,.267203927,.267203927,.267203927,.267203927,.267203927,.267203927,.8016117811,.8016117811,.8016117811,1.336019635,1.336019635,1.336019635,1.336019635,3.206447124,3.740854979,4.275262833,4.275262833,4.54246664,5.878486156,6.680098057,6.680098057,6.947301865,7.214506149,7.481709957,7.748913765,9.084933281,9.619340897,10.4209528,12.55858421,14.69621563,16.83384705,17.90266228,18.16986656,18.97147942,19.50588608,19.77309036,21.10910988,22.44512939,23.78114891,24.31555748,25.651577,28.32361603,28.59082031,29.39243126,31.53006363,33.13328552,41.14940262,41.95101547,44.89025879,47.29509354,49.16552353,49.96713257,50.76874542,52.10476685,52.90637589,55.8456192,58.78486252,59.85367966,61.72410583,63.8617363,67.33538818,70.00743103,71.61064911,80.42838287,84.16923523,85.50525665,88.44449615,91.38374329,98.06384277,105.5455475,108.4847946,111.6912384,114.6304855,119.440155,128.7922974,131.9987335,136.0067902,142.419693,143.7557068,149.0997925,153.9094543,166.4680481,174.4841614,178.492218,185.4395294,189.9819946,194.7916565,197.9981079
Puente Aranda,12,782973.26,884991.05,M,258287,0,0,0,0,0,0,0,0,0,0,0,0,.3871662021,.7743324041,1.161498666,1.161498666,1.161498666,1.161498666,1.548664808,1.548664808,2.710163593,2.710163593,3.097329617,3.484495878,4.645994663,4.645994663,4.645994663,6.968991756,8.130490303,9.67915535,9.67915535,11.61498642,13.16365147,13.93798351,15.09948254,15.48664856,15.48664856,17.03531265,18.19681168,18.97114372,19.74547768,20.90697479,21.68130875,23.22997284,23.22997284,24.77863693,25.16580391,27.48880196,29.42463303,31.3604641,33.68346024,34.07062531,35.61929321,36.78079224,39.49095535,42.58828354,50.71877289,54.59043503,56.13910294,59.23643112,61.55942917,62.33375931,70.85141754,72.7872467,73.94874573,75.11024475,76.27174377,78.20757294,78.98191071,82.07923889,86.3380661,87.88673401,91.37122345,92.14556122,96.79155731,98.34021759,101.0503845,106.0835419,107.2450409,109.1808701,115.7626953,120.4086914,127.7648544,132.4108429,135.5081787,141.3156738,143.6386719,153.7049866,162.6098175,168.4172974,172.2889709,175.3862915,176.5477905,179.2579498,181.9681244,190.0986176,195.1317749,202.100769,206.3595886,210.2312469,215.2644196,218.7489166
Los Mártires,11,720545.28,856631.71,M,99119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.008888364,2.017776728,4.035553455,4.035553455,5.0444417,8.071106911,8.071106911,9.079995155,11.09777164,11.09777164,11.09777164,12.10665989,12.10665989,12.10665989,13.11554813,14.12443638,14.12443638,14.12443638,15.13332462,15.13332462,16.14221382,17.15110207,19.16887856,19.16887856,19.16887856,20.1777668,20.1777668,20.1777668,20.1777668,21.18665504,22.19554329,23.20443153,32.28442764,32.28442764,32.28442764,34.30220413,35.31109238,36.31998062,37.32886887,43.38219833,49.4355278,50.44441605,54.47996902,56.49774551,62.55107498,65.57774353,72.63996124,74.65773773,76.67551422,80.7110672,84.74662018,90.79994965,98.8710556,103.9154968,111.9866028,116.0221558,116.0221558,121.066597,125.10215,142.2532501,271.3909607,294.5953979,303.6753845,322.8442688,331.9242554,352.1020203,359.1642456,368.2442322,374.2975464,386.4042358,399.5197754,407.5908813,425.7508545,431.8041992,439.8753052,445.9286194,450.9730835,452.9908447,455.0086365
La Candelaria,10,992930.07,1177066.67,M,24088,0,0,0,0,0,0,0,0,0,0,0,4.151444912,4.151444912,4.151444912,4.151444912,4.151444912,4.151444912,4.151444912,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,16.60577965,16.60577965,16.60577965,16.60577965,16.60577965,16.60577965,16.60577965,16.60577965,16.60577965,24.90866852,24.90866852,24.90866852,24.90866852,24.90866852,24.90866852,24.90866852,24.90866852,37.36300278,37.36300278,37.36300278,37.36300278,37.36300278,37.36300278,41.51444626,53.96878052,157.7548981,157.7548981,161.9063416,190.9664612,215.8751221,224.178009,224.178009,232.480896,265.6924744,278.1467896,294.7525635,327.9641418,336.2670288,365.3271484,381.9329224,381.9329224,390.2358093,406.8415833,415.1444702,427.5988159,440.0531311,444.2045898,444.2045898,460.8103638
Kennedy,9,636033.98,730392.03,L,1088443,0,0,0,0,0,0,.0918743536,.0918743536,.0918743536,.2756230831,.2756230831,.2756230831,.2756230831,.2756230831,.2756230831,.2756230831,.5512461662,.5512461662,.7349948287,.7349948287,1.469989657,1.929361463,2.664356232,3.031853676,3.215602398,3.491225481,3.950597286,5.420587063,6.614953518,7.625571728,7.80932045,9.095561028,10.28992748,11.20867157,12.3111639,13.04615879,13.22990704,13.8730278,14.51614857,15.06739426,15.80238914,17.54800224,19.56923866,21.31484985,23.15233803,25.08169937,26.0004425,28.11355209,29.58354187,33.44226456,37.85223389,39.78159714,42.17033005,44.46718979,45.29405594,47.31529236,48.87715912,50.99026871,53.47087479,56.96210098,61.64769363,66.51703644,73.40760803,78.82820129,82.41130066,87.92375946,96.28432465,99.49993134,107.5848694,115.4860687,125.9597397,132.2990723,139.465271,141.4865112,148.4689636,153.7976685,156.4620361,165.6494598,170.2431793,175.6637726,182.646225,192.8442688,207.1766663,223.6221771,230.9721375,238.597702,251.8276062,259.1775513,267.7218628,278.2874146,286.4642334,293.9060669,301.256012,309.8922119,319.9064941,333.3201599,341.9563599,347.1932068,361.3418579,371.7236328,380.3598328,386.5154114
Fuera de Bogotá,8,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Fontibón,7,1135394.73,1238465.52,M,394648,0,0,0,0,0,0,.2533903718,.2533903718,.5067807436,.5067807436,.5067807436,.5067807436,.7601711154,1.266951799,2.280513287,2.280513287,3.294074774,3.294074774,4.307636261,5.067807198,6.84153986,6.84153986,8.108491898,8.36188221,8.868662834,9.375443459,9.375443459,10.64239502,12.66951847,14.69664097,14.69664097,16.97715378,18.75088692,19.25766754,20.01783943,20.27122879,20.27122879,20.52462006,21.79157066,21.79157066,22.55174255,24.57886505,25.33903694,27.6195488,28.37972069,29.39328194,29.39328194,29.90006256,31.16701508,32.18057632,32.94074631,34.20769882,35.7280426,37.7551651,38.51533508,40.03567886,41.30262756,42.31618881,45.61026382,47.89077759,49.66451263,50.17129135,51.69163513,53.46536636,55.49248886,62.33403015,64.36115265,65.88149261,66.6416626,69.42896271,72.72303772,77.03067017,78.29762268,79.05779266,83.36543274,89.44680023,91.22052765,96.28833771,100.3425827,100.3425827,104.3968277,105.6637802,111.4917603,118.8400803,121.1205902,122.8943253,130.7494202,137.3375702,142.9121704,149.7537079,151.2740479,156.5952454,159.1291504,161.6630554,164.9571228,171.5452728,174.8393555,180.160553,188.269043,191.5631104,194.6038055,198.1512604
Engativá,6,801226.55,990737.3,M,887080,0,0,0,0,.2254588157,.2254588157,.2254588157,.6763764024,.7891058326,.9018352628,.9018352628,.9018352628,.9018352628,1.014564633,1.578211665,1.578211665,1.578211665,1.578211665,2.70550561,2.70550561,3.945529222,4.847364426,5.636470318,6.087388039,6.876493454,6.989223003,7.327411175,8.22924614,10.1456461,10.93475246,11.04748154,12.96388149,14.54209328,15.21846962,16.00757599,16.23303413,16.34576416,16.79668045,17.81124496,18.14943504,18.26216316,19.05126953,20.29129219,20.74221039,22.65860939,24.34955215,24.46228027,24.91319847,25.92776299,26.9423275,27.3932457,28.18235016,29.87329292,30.77512741,31.45150375,32.69152832,33.5933609,34.26973724,34.4951973,36.41159821,36.8625145,37.53889084,38.66618729,39.34256363,40.46985626,41.93533707,43.62627792,45.54267883,45.880867,47.23361969,48.69910431,49.60093689,50.27731323,50.84096146,54.44830322,55.91378403,56.92834854,59.74658585,60.9866066,61.88844299,63.69211197,65.38305664,69.32858276,75.19051361,79.92514801,82.17973328,84.77251434,87.13983154,91.3108139,98.18730927,101.3437347,104.0492401,107.0929337,111.1511917,113.8566971,119.3804398,124.0023422,127.2714996,130.9915619,134.0352631,136.4025726,139.6717377
Ciudad Bolívar,5,353195.74,449245.27,L,707569,0,0,0,0,0,0,0,0,0,.1413289756,.1413289756,.1413289756,.1413289756,.1413289756,.1413289756,.1413289756,.1413289756,.1413289756,.1413289756,.1413289756,.2826579511,.2826579511,.4239869118,.4239869118,.8479738235,.8479738235,.8479738235,.989302814,1.413289785,2.119934559,2.119934559,3.674553394,3.957211256,6.359803677,6.642461777,7.066448689,7.066448689,7.7730937,8.197080612,8.903725624,9.186383247,9.893028259,11.58897591,13.00226593,14.27422619,14.9808712,15.40485764,15.40485764,16.53549004,17.52479172,17.94878006,19.78605652,20.7753582,21.48200417,21.62333298,23.46060944,24.02592468,25.01522827,26.71117592,27.98313713,29.39642715,31.65769005,33.77762604,35.47357178,36.32154465,37.31084824,39.28945541,40.42008591,41.12673187,42.82267761,46.073246,47.34520721,49.74779892,51.16108704,52.99836349,56.10760117,57.80355072,61.33677292,63.03272247,64.16335297,66.84860229,69.25119781,72.64308929,77.44828033,84.65605164,88.89592743,92.71180725,95.11439514,99.2129364,107.4100189,109.8126144,113.6284943,119.5643082,124.5108261,128.3267059,141.3289795,152.2113037,154.4725647,159.2777557,161.6803436,166.7681885,170.4427338
Chapinero,4,3258705.9,3813290.23,H,139701,0,0,0,0,0,0,0,0,.7158144712,5.010701656,5.010701656,8.589774132,8.589774132,11.45303154,12.16884613,12.16884613,13.60047531,14.3162899,20.75861931,20.75861931,24.33769226,25.76932144,27.20095062,28.6325798,32.21165085,32.92746735,34.35909653,35.07490921,43.6646843,47.24375534,47.95957184,53.68608856,54.40190125,54.40190125,55.83353043,57.26515961,57.26515961,57.98097229,57.98097229,58.69678879,58.69678879,61.56004715,68.00237274,68.71819305,70.8656311,72.2972641,74.44470978,74.44470978,74.44470978,75.16052246,75.87633514,79.45540619,80.88703918,83.75029755,85.18192291,85.8977356,88.04518127,89.47681427,89.47681427,90.19262695,93.05588531,93.05588531,95.20332336,97.35076904,97.35076904,97.35076904,98.06658173,99.49821472,100.9298401,101.6456604,105.9405441,105.9405441,107.3721771,108.0879898,113.8145065,118.1093903,119.5410233,120.9726486,125.9833527,128.1307983,129.5624237,130.9940491,137.4363861,141.0154572,147.4577789,151.7526703,171.0796661,178.9536285,187.543396,199.7122498,202.5755005,207.5861969,211.1652679,214.7443542,219.0392303,230.4922638,236.9346008,242.6611176,249.1034393,261.2722778,266.2829895,270.5778809
Bosa,3,400662.74,498088.39,L,673077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1485714167,.1485714167,.1485714167,.1485714167,.1485714167,1.188571334,1.188571334,1.337142706,1.634285569,2.079999685,2.525713921,2.674285412,3.565713882,4.90285635,6.091427803,6.091427803,7.279999256,7.874284744,8.617141724,9.211427689,9.359998703,9.359998703,9.657141685,10.10285568,10.84571266,11.58856964,12.47999859,14.55999851,15.74856949,16.19428444,17.53142738,17.6799984,18.57142639,19.6114254,20.65142632,20.65142632,22.4342823,23.62285423,25.70285416,27.0399971,28.97142601,30.30856705,32.68571091,35.95428085,40.26285172,44.27428055,47.09713745,51.99999237,54.37713623,56.75428009,60.02285004,62.84570694,63.73713684,64.92570496,67.15428162,74.5828476,76.81141663,79.03999329,81.86284637,85.72570801,87.50856018,88.39998627,93.89713287,96.57141876,98.50284576,104.7428436,110.0914154,116.1828461,123.31427,129.108551,135.9428406,141.8856964,151.8399811,158.2285461,163.5771179,169.0742645,175.9085541,182.445694,190.9142609,198.7885437,208.2971191,220.034256,223.4514008,231.0285492,236.6742554,246.62854,250.491394
Barrios Unidos,2,1223299.31,1343020.8,M,243465,0,0,0,0,0,0,0,0,0,.4107366502,.4107366502,.4107366502,.4107366502,.4107366502,.4107366502,.4107366502,.4107366502,.8214733005,.8214733005,.8214733005,2.053683281,2.464419842,2.464419842,3.696630001,3.696630001,4.107366562,4.107366562,4.518103123,5.750313282,6.161049843,6.161049843,7.393260002,7.803996563,9.036206245,9.857679367,9.857679367,9.857679367,9.857679367,10.2684164,10.2684164,10.2684164,11.08988953,13.55430984,14.37578297,14.78652,15.19725609,16.01873016,16.01873016,17.25094032,17.66167641,17.66167641,18.48315048,18.89388657,19.71535873,20.12609673,21.35830688,21.76904297,22.59051704,22.59051704,23.41198921,23.8227253,24.23346329,24.23346329,26.28714561,26.28714561,26.69788361,28.75156593,29.57304001,29.98377609,30.80525017,32.03746033,32.8589325,33.26966858,33.26966858,36.14482498,37.37703705,39.84145737,41.4844017,41.89513779,42.71661377,44.77029419,45.18103409,49.28839874,50.93134689,53.39576721,54.62797546,55.03871155,57.09239578,59.96755219,62.4319725,64.89639282,66.95007324,68.59302521,71.4681778,75.16481018,78.86143494,82.14733124,85.43322754,87.07617188,89.54058838,90.36206818,92.00501251
Antonio Nariño,1,710948.15,901505.71,M,109176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.9159522057,.9159522057,1.831904411,1.831904411,1.831904411,2.747856617,3.663808823,3.663808823,4.579761028,4.579761028,5.495713234,6.41166544,6.41166544,7.327617645,8.243570328,9.159522057,10.07547474,10.07547474,10.07547474,10.07547474,10.07547474,10.99142647,10.99142647,11.90737915,11.90737915,12.82333088,15.57118797,15.57118797,16.48714066,16.48714066,17.40309143,17.40309143,20.15094948,21.06690025,21.06690025,21.06690025,21.06690025,21.98285294,21.98285294,22.89880562,30.22642326,30.22642326,30.22642326,31.14237595,38.46999359,41.21784973,61.3687973,85.1835556,87.01546478,87.01546478,88.84736633,90.67926788,92.51117706,94.34307861,95.2590332,98.00688934,99.83879089,101.6707001,108.9983139,113.5780792,118.1578369,119.9897385,159.3756866,165.7873535,166.7033081,170.3671112,172.1990204,174.9468689,178.6106873,179.5266418,186.854248,194.1818695,197.8456879,204.2573395,207.9211578,216.1647186,218.9125824,227.1561584,234.4837646,235.3997192,243.6432953,248.223053,251.8868561,254.6347198
